AI Timeline event,AI Timeline date,AA most likely model,AA most likely release date,Confidence 1-10,Candidate 1 time mismatch,AA second likely model,AA second release date,Confidence 2 1-10,Candidate 2 time mismatch,match_level,entity_name
"o3 — OpenAI updates Operator to use the o3 model, achieving SOTA on OSWorld benchmarks and enhancing autonomous browser capabilities.",2025 May 2025,o3 (OpenAI),2025-04-16,10.0,,o3-pro (OpenAI),2025-06-10,9.9,,exact_or_near_exact,o3
"R1-0528 — DeepSeek open-sources R1-0528 , a code-and-inference model with near–o4-mini performance and moderate computational needs.",2025 May 2025,DeepSeek R1 0528 (May '25),2025-05-28,10.0,,DeepSeek R1 0528 Qwen3 8B,2025-05-29,9.9,,exact_or_near_exact,R1-0528
"Gemini Diffusion — Google releases Gemini Diffusion , an experimental text diffusion model achieving high-speed text generation with enhanced control and creativity via noise refinement.",2025 May 2025,Nano Banana (Gemini 2.5 Flash Image) (Google),2025-08,7.9,,Nano Banana (Gemini 2.5 Flash Image) (Google),2025-08,7.9,,medium,Gemini Diffusion
"Gemma 3n — Google introduces Gemma 3n , an open-source generative AI model for on-device use, with an efficient architecture and multi-modal (audio, text, visual) capabilities.",2025 May 2025,Gemma 3n E2B Instruct (Google),2025-06-26,9.9,,Gemma 3n E4B Instruct Preview (May '25) (Google),2025-05-20,9.9,,exact_or_near_exact,Gemma 3n
"Gemini 2.5 Pro — Google releases Gemini 2.5 Pro (final production-ready version), which leads benchmarks across the board.",2025 June 2025,Gemini 2.5 Pro (Google),2025-06-05,10.0,,Gemini 2.5 Pro Preview (Mar' 25) (Google),2025-03-25,9.3,,exact_or_near_exact,Gemini 2.5 Pro
Eleven v3 (alpha) — ElevenLabs rolls out Eleven v3 (alpha) TTS with fine grained emotion control and support for 70+ languages.,2025 June 2025,Eleven v3 (ElevenLabs),,6.0,,Runway Gen 3 Alpha,2024-06,5.3,,exact_or_near_exact,Eleven v3 (alpha)
"o3 pro — OpenAI debuts o3 pro , an enhanced reasoning model offering extended context and real-time tool integrations.",2025 June 2025,o3-pro (OpenAI),2025-06-10,10.0,,o1-pro (OpenAI),2025-03-19,9.3,,exact_or_near_exact,o3 pro
"Grok 4 — xAI releases Grok 4 , achieving a new SOTA of 15.9% on ARC-AGI v2 and 25.4% on Humanity’s Last Exam.",2025 July 2025,Grok 4 (xAI),2025-07-10,10.0,,Grok 4.3 (low) (xAI),2026-04-30,7.2,,exact_or_near_exact,Grok 4
"Gemini Deep Think — Google introduces Gemini Deep Think , which also earns an IMO 2025 gold by solving five of six problems with parallel reasoning.",2025 July 2025,Gemini 3 Deep Think (Google),2026-02-05,7.2,,Gemini 2.0 Flash Thinking Experimental (Jan '25) (Google),2025-01-21,6.0,,exact_or_near_exact,Gemini Deep Think
"Qwen3-235B-A22B-Instruct-2507 — Alibaba open-sources two variants, Qwen3-235B-A22B-Instruct-2507 (instruction-tuned) and Qwen3-Coder , for general LLM use and automated code generation.",2025 July 2025,Qwen3 235B A22B 2507 Instruct (Alibaba),2025-07-21,10.0,,Qwen3 235B A22B 2507 (Reasoning) (Alibaba),2025-07-25,9.9,,exact_or_near_exact,Qwen3-235B-A22B-Instruct-2507
"Qwen3-Coder — Alibaba open-sources two variants, Qwen3-235B-A22B-Instruct-2507 (instruction-tuned) and Qwen3-Coder , for general LLM use and automated code generation.",2025 July 2025,Qwen3 Coder 30B A3B Instruct (Alibaba),2025-07-31,9.9,,Qwen3 Coder 480B A35B Instruct (Alibaba),2025-07-22,9.9,,exact_or_near_exact,Qwen3-Coder
"Kimi K2 — Moonshot AI debuts Kimi K2 , a Chinese LLM praised for its open-research focus and robust performance.",2025 July 2025,Kimi K2,2025-07-11,10.0,,Kimi K2.5 (Reasoning),2026-01-27,8.2,,exact_or_near_exact,Kimi K2
"GLM-4.5 — Chinese startup Zhipu open-sources GLM-4.5 , a 130 B-parameter model tailored for intelligent-agent applications.",2025 July 2025,GLM-4.5 (Reasoning) (Z AI),2025-07-28,10.0,,GLM-4.5V (Reasoning) (Z AI),2025-08-11,9.6,,exact_or_near_exact,GLM-4.5
"Gemini 2.5 Deep Think — Google introduced Gemini 2.5 Deep Think , a special ""extended thinking"" mode for solving complex problems and exploring alternatives.",2025 August 2025,Gemini 3 Deep Think (Google),2026-02-05,8.4,,Gemini 2.5 Pro (Google),2025-06-05,6.0,,exact_or_near_exact,Gemini 2.5 Deep Think
"Claude Opus 4.1 — Anthropic released Claude Opus 4.1 , an upgrade focused on improving agentic capabilities and real-world coding.",2025 August 2025,Claude 4.1 Opus (Non-reasoning) (Anthropic),2025-08-05,10.0,,Claude 4.1 Opus (Reasoning) (Anthropic),2025-08-05,10.0,,exact_or_near_exact,Claude Opus 4.1
"Genie 3.0 — Google DeepMind announced Genie 3.0 , a ""world model"" for creating interactive 3D environments from text, maintaining consistency for several minutes.",2025 August 2025,Gemini 3 Pro Preview (high) (Google),2025-11-18,6.0,,Gemini 3 Flash Preview (Non-reasoning) (Google),2025-12-17,6.0,,low,Genie 3.0
"gpt-oss-120b — OpenAI released gpt-oss-120b and gpt-oss-20b , a family of open-source models with high reasoning capabilities, optimized to run on accessible hardware.",2025 August 2025,gpt-oss-120b (high) (OpenAI),2025-08-05,10.0,,gpt-oss-20B (high) (OpenAI),2025-08-05,10.0,,exact_or_near_exact,gpt-oss-120b
"gpt-oss-20b — OpenAI released gpt-oss-120b and gpt-oss-20b , a family of open-source models with high reasoning capabilities, optimized to run on accessible hardware.",2025 August 2025,gpt-oss-120b (high) (OpenAI),2025-08-05,10.0,,gpt-oss-20B (high) (OpenAI),2025-08-05,10.0,,exact_or_near_exact,gpt-oss-20b
"GPT-5 — OpenAI launched GPT-5 , the company's next-generation model, with significant improvements in coding and a dynamic ""thinking"" mode to reduce hallucinations.",2025 August 2025,GPT-5.5 (Non-reasoning) (OpenAI),2026-04-23,7.2,,GPT-5.5 (high) (OpenAI),2026-04-23,7.2,,exact_or_near_exact,GPT-5
"DeepSeek V3.1 — DeepSeek released DeepSeek V3.1 , a hybrid model combining fast and slow ""thinking"" modes to improve performance in agentic tasks and tool use.",2025 August 2025,DeepSeek V3.1 (Non-reasoning),2025-08-21,10.0,,DeepSeek V3.1 (Reasoning),2025-08-21,10.0,,exact_or_near_exact,DeepSeek V3.1
"Gemini 2.5 Flash Image — Google launched a preview of Gemini 2.5 Flash Image (showcased as *nano-banana*), an advanced model for precise image editing, merging, and maintaining character consistency.",2025 August 2025,Nano Banana (Gemini 2.5 Flash Image) (Google),2025-08,10.0,,Nano Banana (Gemini 2.5 Flash Image) (Google),2025-08,9.9,,exact_or_near_exact,Gemini 2.5 Flash Image
"Seedream 4.0 — ByteDance released Seedream 4.0 , a next-generation image model unifying high-quality text-to-image generation and natural-language image editing.",2025 September 2025,Seedream 4.0 (ByteDance Seed),2025-09,10.0,,Seedream 4.0 (ByteDance Seed),2025-09,10.0,,exact_or_near_exact,Seedream 4.0
"Gemini 2.5 - Deep Think — An advanced Gemini variant, reported as Gemini 2.5 - Deep Think , achieved gold-medal-level performance at the ICPC World Finals programming contest.",2025 September 2025,Gemini 3 Deep Think (Google),2026-02-05,8.1,,Gemini 2.5 Pro (Google),2025-06-05,6.0,,high,Gemini 2.5 - Deep Think
"Suno v5 — Suno released Suno v5 , an upgrade in music generation with studio-grade fidelity and more natural-sounding vocals.",2025 September 2025,Suno V5.5,,6.0,,Suno V5,,6.0,,exact_or_near_exact,Suno v5
"Qwen-3-Max — Alibaba unveiled Qwen-3-Max , its flagship model with over a trillion parameters, focusing on long context and agent capabilities.",2025 September 2025,Qwen3 Max (Alibaba),2025-09-23,10.0,,Qwen3 Max (Preview) (Alibaba),2025-09-05,10.0,,exact_or_near_exact,Qwen-3-Max
"Wan 2.5 — Wan 2.5 was released, a generative video model focused on multi-shot consistency and character animation.",2025 September 2025,Wan 2.5 Preview (Alibaba),2025-09,9.8,,Wan 2.5 Preview (Alibaba),2025-09,9.5,,exact_or_near_exact,Wan 2.5
"Claude Sonnet 4.5 — Anthropic announced Claude Sonnet 4.5 , a model optimized for coding, agent construction, and improved reasoning.",2025 September 2025,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort) (Anthropic)",2026-02-17,8.7,,"Claude Sonnet 4.6 (Non-reasoning, High Effort) (Anthropic)",2026-02-17,8.7,,exact_or_near_exact,Claude Sonnet 4.5
"Sora 2 — OpenAI released Sora 2 , a flagship video and audio generation model with improved physical modeling and synchronized sound.",2025 September 2025,Sora 2 Pro (OpenAI),2025-09,10.0,,Sora 2 (October) (OpenAI),2025-09,10.0,,exact_or_near_exact,Sora 2
DeepSeek-V3.2-Exp — DeepSeek released DeepSeek-V3.2-Exp,2025 September 2025,DeepSeek V3.2 Exp (Non-reasoning),2025-09-29,10.0,,DeepSeek V3.2 Exp (Reasoning),2025-09-29,10.0,,exact_or_near_exact,DeepSeek-V3.2-Exp
"Gemini model for computer control — Google released a Gemini model for computer control , achieving state-of-the-art (SOTA) performance in GUI automation.",2025 October 2025,Gemini 3 Pro Preview (high) (Google),2025-11-18,6.0,,Gemini 3 Pro Preview (low) (Google),2025-11-18,6.0,,low,Gemini model for computer control
"Claude 4.5 Haiku — Anthropic released Claude 4.5 Haiku , a fast, cost-effective model for high-volume, low-latency applications.",2025 October 2025,Claude 4.5 Haiku (Non-reasoning) (Anthropic),2025-10-15,10.0,,Claude 4.5 Haiku (Reasoning) (Anthropic),2025-10-15,10.0,,exact_or_near_exact,Claude 4.5 Haiku
"Kimi K2 Thinking — Moonshot AI released Kimi K2 Thinking , an open model setting new records in reasoning benchmarks.",2025 November 2025,Kimi K2 Thinking,2025-11-06,10.0,,Kimi K2,2025-07-11,8.2,,exact_or_near_exact,Kimi K2 Thinking
"GPT 5.1 — OpenAI launched GPT 5.1 , featuring specialized ""Thinking"" and ""Instant"" modes with expanded context.",2025 November 2025,GPT-5.1 (high) (OpenAI),2025-11-13,10.0,,GPT-5.1 (Non-reasoning) (OpenAI),2025-11-13,10.0,,exact_or_near_exact,GPT 5.1
"Grok 4.1 — xAI released Grok 4.1 , combining high EQ with strong logic to top the LM Arena leaderboard.",2025 November 2025,Grok 4.1 Fast (Reasoning) (xAI),2025-11-19,9.9,,Grok 4.1 Fast (Non-reasoning) (xAI),2025-11-19,9.9,,exact_or_near_exact,Grok 4.1
"Gemini 3.0 — Google debuted Gemini 3.0 , a flagship ""thinking"" model that claimed the top spot on major benchmarks.",2025 November 2025,Gemini 3 Pro Preview (high) (Google),2025-11-18,9.2,,Gemini 3 Flash Preview (Non-reasoning) (Google),2025-12-17,8.8,,medium,Gemini 3.0
"GPT 5.1 Codex Max — OpenAI introduced GPT 5.1 Codex Max , an agentic model built specifically for long-term coding tasks.",2025 November 2025,GPT-5.1 Codex (high) (OpenAI),2025-11-13,9.9,,GPT-5.1 (high) (OpenAI),2025-11-13,9.9,,exact_or_near_exact,GPT 5.1 Codex Max
"Nano Banana Pro — Google released Nano Banana Pro , a superior image generation and editing model based on Gemini 3.",2025 November 2025,Nano Banana Pro (Gemini 3 Pro Image) (Google),2025-11,10.0,,Nano Banana Pro (Gemini 3 Pro Image) (Google),2025-11,10.0,,exact_or_near_exact,Nano Banana Pro
"Claude Opus 4.5 — Anthropic announced Claude Opus 4.5 , delivering elite coding and agentic performance at a significantly reduced price.",2025 November 2025,Claude Opus 4.5 (Non-reasoning) (Anthropic),2025-11-24,10.0,,Claude Opus 4.5 (Reasoning) (Anthropic),2025-11-24,10.0,,exact_or_near_exact,Claude Opus 4.5
"FLUX 2 — Black Forest Labs launched FLUX 2 , a high-performance open-weight image generation model.",2025 November 2025,FLUX.2 [max] (Black Forest Labs),2025-12,10.0,,FLUX.2 [pro] (Black Forest Labs),2025-11,10.0,,exact_or_near_exact,FLUX 2
"DeepSeekMath-V2 — DeepSeek released DeepSeekMath-V2 as open source, achieving gold-medal performance in math olympiads.",2025 November 2025,DeepSeek V3 0324,2025-03-25,7.0,,DeepSeek-V2.5 (Dec '24),2024-12-10,6.8,,high,DeepSeekMath-V2
"Fara-7B — Microsoft open-sourced Fara-7B , a small model optimized for browser agents and computer control.",2025 November 2025,Phi-4 (Microsoft),2024-12-12,6.0,,MAI-Image-2 (Microsoft),2026-03,6.0,,low,Fara-7B
"Mistral 3 — Mistral AI launches the Mistral 3 family (Large & Ministral) alongside Mistral OCR 3 and the Devstral 2 coding series, reinforcing its open-weight leadership with advanced agentic workflows and Vibe CLI integration.",2025 December 2025,Ministral 3 3B (Mistral),2025-12-02,9.6,,Ministral 3 8B (Mistral),2025-12-02,9.6,,high,Mistral 3
"Mistral OCR 3 — Mistral AI launches the Mistral 3 family (Large & Ministral) alongside Mistral OCR 3 and the Devstral 2 coding series, reinforcing its open-weight leadership with advanced agentic workflows and Vibe CLI integration.",2025 December 2025,Mistral Large 3,2025-12-02,9.0,,Ministral 3 3B (Mistral),2025-12-02,8.8,,medium,Mistral OCR 3
"Devstral 2 — Mistral AI launches the Mistral 3 family (Large & Ministral) alongside Mistral OCR 3 and the Devstral 2 coding series, reinforcing its open-weight leadership with advanced agentic workflows and Vibe CLI integration.",2025 December 2025,Devstral 2 (Mistral),2025-12-09,10.0,,Devstral Small 2 (Mistral),2025-12-09,9.5,,exact_or_near_exact,Devstral 2
"GPT-5.2 — OpenAI releases GPT-5.2 , featuring the autonomous Codex agent for complex engineering tasks, and GPT-Image 1.5 , which claims the #1 spot on vision benchmarks, outperforming Nano Banana Pro.",2025 December 2025,GPT-5.2 (xhigh) (OpenAI),2025-12-11,10.0,,GPT-5.2 (Non-reasoning) (OpenAI),2025-12-11,10.0,,exact_or_near_exact,GPT-5.2
"GPT-Image 1.5 — OpenAI releases GPT-5.2 , featuring the autonomous Codex agent for complex engineering tasks, and GPT-Image 1.5 , which claims the #1 spot on vision benchmarks, outperforming Nano Banana Pro.",2025 December 2025,GPT Image 1.5 (high) (OpenAI),2025-12,10.0,,GPT Image 1.5 (high) (OpenAI),2025-12,10.0,,exact_or_near_exact,GPT-Image 1.5
"Gemini 3.0 Flash — Google introduces Gemini 3.0 Flash , setting a new standard for price-performance, and deploys Deep Research , an autonomous agent capable of multi-step synthesis, alongside Gemini 2.5 Flash Audio .",2025 December 2025,Gemini 3.5 Flash (minimal) (Google),2026-05-19,8.7,,Gemini 3.5 Flash (high) (Google),2026-05-19,8.7,,exact_or_near_exact,Gemini 3.0 Flash
"Gemini 2.5 Flash Audio — Google introduces Gemini 3.0 Flash , setting a new standard for price-performance, and deploys Deep Research , an autonomous agent capable of multi-step synthesis, alongside Gemini 2.5 Flash Audio .",2025 December 2025,Gemini 2.5 Flash-Lite (Non-reasoning) (Google),2025-06-17,8.0,,Gemini 2.5 Flash-Lite (Reasoning) (Google),2025-06-17,8.0,,exact_or_near_exact,Gemini 2.5 Flash Audio
"Nova 2 — Amazon unveils the Nova 2 series, highlighted by Nova 2 Sonic , a native speech-to-speech model delivering ultra-low latency and natural conversation flow.",2025 December 2025,Nova 2.0 Omni (medium) (Amazon),2025-11-26,9.9,,Nova 2.0 Omni (low) (Amazon),2025-11-26,9.9,,exact_or_near_exact,Nova 2
"Nova 2 Sonic — Amazon unveils the Nova 2 series, highlighted by Nova 2 Sonic , a native speech-to-speech model delivering ultra-low latency and natural conversation flow.",2025 December 2025,Nova 2.0 Omni (medium) (Amazon),2025-11-26,9.1,,Nova 2.0 Omni (low) (Amazon),2025-11-26,9.1,,exact_or_near_exact,Nova 2 Sonic
"Gen-4.5 — Runway releases Gen-4.5 , a video generation model that rises to the top of industry leaderboards for motion consistency and prompt adherence.",2025 December 2025,Runway Gen-4.5,2025-12,10.0,,Runway Gen-4.5,2025-12,9.9,,exact_or_near_exact,Gen-4.5
"Grok Voice Agent API — xAI launches the Grok Voice Agent API , enabling native, real-time bidirectional audio streaming for developers.",2025 December 2025,Grok Voice Agent (xAI),,6.0,,grok-imagine-image-pro (xAI),2026-02,6.0,,exact_or_near_exact,Grok Voice Agent API
"GLM-4.7 — Zhipu AI releases GLM-4.7 , an open-weights model that reaches the top of global coding and reasoning leaderboards.",2025 December 2025,GLM-4.7 (Reasoning) (Z AI),2025-12-22,10.0,,GLM-4.7 (Non-reasoning) (Z AI),2025-12-22,10.0,,exact_or_near_exact,GLM-4.7
"Z-Image-Turbo — Alibaba open-sources Z-Image-Turbo , a highly efficient 6B model, and releases Qwen-Image-2512 , which specializes in high-fidelity typography and complex visual compositions.",2025 December 2025,Z-Image Turbo (Alibaba),2025-12,10.0,,Z-Image Base (Alibaba),2026-01,8.6,,exact_or_near_exact,Z-Image-Turbo
"Qwen-Image-2512 — Alibaba open-sources Z-Image-Turbo , a highly efficient 6B model, and releases Qwen-Image-2512 , which specializes in high-fidelity typography and complex visual compositions.",2025 December 2025,Qwen Image Max 2512 (Alibaba),2025-12,10.0,,Qwen Image Plus 2601 (Alibaba),2026-01,8.8,,exact_or_near_exact,Qwen-Image-2512
"MiniMax-M2.1 — MiniMax releases MiniMax-M2.1 , a 200k-context MoE model that rises to the top of web development and coding leaderboards, establishing itself as a leading open model for developers.",2025 December 2025,MiniMax-M2.1,2025-12-23,10.0,,MiniMax-M2,2025-10-26,8.9,,exact_or_near_exact,MiniMax-M2.1
"Claude Cowork — Anthropic launches Claude Cowork , a research preview for delegating knowledge-work tasks across documents, spreadsheets, and presentations.",2026 January 2026,Claude 3 Opus (Anthropic),2024-03-04,6.0,yes,Claude 3 Haiku (Anthropic),2024-03-04,5.9,yes,medium,Claude Cowork
"Kimi K2.5 — Moonshot AI releases Kimi K2.5 , an upgraded model focused on stronger reasoning, coding, and agentic workflows.",2026 January 2026,Kimi K2.5 (Reasoning),2026-01-27,10.0,,Kimi K2.5 (Non-reasoning),2026-01-27,10.0,,exact_or_near_exact,Kimi K2.5
"Imagine Video — xAI launches Imagine Video , a video generation model in Grok that quickly rises to the top of public leaderboards.",2026 January 2026,grok-imagine-video (xAI),2026-01,10.0,,grok-imagine-video (xAI),2026-01,10.0,,exact_or_near_exact,Imagine Video
"Claude Opus 4.6 — Anthropic releases Claude Opus 4.6 and Claude Sonnet 4.6 , adding a 1M-token context window in beta and making the updated Sonnet model the default across Claude and Cowork.",2026 February 2026,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort) (Anthropic)",2026-02-05,10.0,,"Claude Opus 4.6 (Non-reasoning, High Effort) (Anthropic)",2026-02-05,10.0,,exact_or_near_exact,Claude Opus 4.6
"Claude Sonnet 4.6 — Anthropic releases Claude Opus 4.6 and Claude Sonnet 4.6 , adding a 1M-token context window in beta and making the updated Sonnet model the default across Claude and Cowork.",2026 February 2026,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort) (Anthropic)",2026-02-17,10.0,,"Claude Sonnet 4.6 (Non-reasoning, High Effort) (Anthropic)",2026-02-17,10.0,,exact_or_near_exact,Claude Sonnet 4.6
"GPT-5.3-Codex — OpenAI introduces GPT-5.3-Codex and GPT-5.3-Codex-Spark , upgraded coding models for long-running and real-time development work.",2026 February 2026,GPT-5.3 Codex (xhigh) (OpenAI),2026-02-05,10.0,,GPT-5.2 Codex (xhigh) (OpenAI),2025-12-11,9.3,,exact_or_near_exact,GPT-5.3-Codex
"GPT-5.3-Codex-Spark — OpenAI introduces GPT-5.3-Codex and GPT-5.3-Codex-Spark , upgraded coding models for long-running and real-time development work.",2026 February 2026,GPT-5.3 Codex (xhigh) (OpenAI),2026-02-05,9.9,,GPT-5 (high) (OpenAI),2025-08-07,8.5,,exact_or_near_exact,GPT-5.3-Codex-Spark
"Gemini 3 Deep Think — Google launches Gemini 3 Deep Think , a specialized reasoning mode that reaches 84.6% on ARC-AGI-2 .",2026 February 2026,Gemini 3 Deep Think (Google),2026-02-05,10.0,,Gemini 3 Pro Preview (high) (Google),2025-11-18,6.0,,exact_or_near_exact,Gemini 3 Deep Think
"Seedance 2.0 — ByteDance releases Seedance 2.0 , an upgraded video generation model with stronger motion quality and multimodal control.",2026 February 2026,Dreamina Seedance 2.0 720p (ByteDance Seed),2026-03,10.0,,Dreamina Seedance 2.0 720p (ByteDance Seed),2026-03,10.0,,exact_or_near_exact,Seedance 2.0
"GLM-5 — Zhipu AI launches GLM-5 , a new flagship model built for stronger reasoning, tool use, and agentic tasks.",2026 February 2026,GLM-5 (Reasoning) (Z AI),2026-02-11,10.0,,GLM-5 (Non-reasoning) (Z AI),2026-02-11,10.0,,exact_or_near_exact,GLM-5
"Grok 4.20 — xAI releases Grok 4.20 , an updated flagship model with improved reasoning and chat performance.",2026 February 2026,Grok 4.20 0309 (Reasoning) (xAI),2026-03-10,9.9,,Grok 4.20 0309 (Non-reasoning) (xAI),2026-03-10,9.9,,exact_or_near_exact,Grok 4.20
"gpt-audio-1.5 — OpenAI adds gpt-audio-1.5 , an upgraded speech model for audio input and spoken responses.",2026 February 2026,GPT-5.1 (high) (OpenAI),2025-11-13,8.9,,GPT-5.1 (Non-reasoning) (OpenAI),2025-11-13,8.9,,high,gpt-audio-1.5
"Nano Banana 2 — Google launches Nano Banana 2 , a Gemini 3.1 Flash-based image model that matches Nano Banana Pro quality at lower latency.",2026 February 2026,Nano Banana 2 (Gemini 3.1 Flash Image Preview) (Google),2026-02,10.0,,Nano Banana 2 (Gemini 3.1 Flash Image Preview) (Google),2026-02,10.0,,exact_or_near_exact,Nano Banana 2
"GPT-5.3 Instant — OpenAI releases GPT-5.3 Instant , a faster general-purpose GPT-5.3 variant for latency-sensitive tasks.",2026 March 2026,GPT-5.5 Instant (May 2026) (OpenAI),2026-05-05,9.4,,GPT-5 (high) (OpenAI),2025-08-07,7.2,,exact_or_near_exact,GPT-5.3 Instant
"GPT-5.4 — OpenAI launches GPT-5.4 alongside GPT-5.4 mini and GPT-5.4 nano , expanding the GPT-5.4 family across flagship and lightweight tiers.",2026 March 2026,GPT-5.4 (Non-reasoning) (OpenAI),2026-03-05,10.0,,GPT-5.4 (low) (OpenAI),2026-03-05,10.0,,exact_or_near_exact,GPT-5.4
"GPT-5.4 mini — OpenAI launches GPT-5.4 alongside GPT-5.4 mini and GPT-5.4 nano , expanding the GPT-5.4 family across flagship and lightweight tiers.",2026 March 2026,GPT-5.4 mini (medium) (OpenAI),2026-03-17,10.0,,GPT-5.4 mini (Non-Reasoning) (OpenAI),2026-03-17,10.0,,exact_or_near_exact,GPT-5.4 mini
"GPT-5.4 nano — OpenAI launches GPT-5.4 alongside GPT-5.4 mini and GPT-5.4 nano , expanding the GPT-5.4 family across flagship and lightweight tiers.",2026 March 2026,GPT-5.4 nano (xhigh) (OpenAI),2026-03-17,10.0,,GPT-5.4 nano (Non-Reasoning) (OpenAI),2026-03-17,10.0,,exact_or_near_exact,GPT-5.4 nano
"Mistral Small 4 — Mistral AI releases Mistral Small 4 , a multimodal open model that unifies reasoning, coding, and vision capabilities.",2026 March 2026,Mistral Small 4 (Reasoning),2026-03-16,10.0,,Mistral Small 4 (Non-reasoning),2026-03-16,10.0,,exact_or_near_exact,Mistral Small 4
"Suno v5.5 — Suno launches Suno v5.5 , adding Voices, Custom Models, and My Taste for more personalized music creation.",2026 March 2026,Suno V5.5,,6.0,,Suno V5.5,,6.0,,exact_or_near_exact,Suno v5.5
