event_id,ai_year,ai_month,model_names,aa_names,aa_release_dates,aa_creators,model_count,event_text,official_date,official_date_all,official_date_month_candidates,date_status,date_confidence,date_source_urls,date_source_titles,date_source_types,date_notes
AIT-2025-12-007,2025,December 2025,GLM-4.7,GLM-4.7 (Reasoning),2025-12-22,Z AI,1,"Zhipu AI releases GLM-4.7 , an open-weights model that reaches the top of global coding and reasoning leaderboards.",2025-12-22,2025-12-22,,day_resolved,medium,https://z.ai/blog/glm-4.7,GLM-4.7,official_blog_js_rendered,"Official Z.ai blog URL and first-party Hugging Face model card were found, but static read did not expose page date. Keep as medium confidence."
AIT-2025-12-008,2025,December 2025,Z-Image-Turbo; Qwen-Image-2512,Z-Image Turbo; Qwen Image Max 2512,2025-12; 2025-12,Alibaba,2,"Alibaba open-sources Z-Image-Turbo , a highly efficient 6B model, and releases Qwen-Image-2512 , which specializes in high-fidelity typography and complex visual compositions.",,,,unresolved,low,,,no_official_source_found,No official Alibaba/Qwen technical blog or first-party announcement was found for exact names Z-Image-Turbo or Qwen-Image-2512. Z-Image naming may require vendor verification. | 2026-07-02 三次补漏：Tongyi-MAI/Z-Image-Turbo 官方 HF 仓库 createdAt 为 2025-11-25，早于 ATL 12 月，组件身份需复核；Qwen-Image-2512 未在 HF 检索到。维持 unresolved。
AIT-2025-12-009,2025,December 2025,MiniMax-M2.1,MiniMax-M2.1,2025-12-23,MiniMax,1,"MiniMax releases MiniMax-M2.1 , a 200k-context MoE model that rises to the top of web development and coding leaderboards, establishing itself as a leading open model for developers.",2025-12-20,2025-12-20,,day_resolved,medium,https://huggingface.co/MiniMaxAI/MiniMax-M2.1,MiniMaxAI/MiniMax-M2.1 (Hugging Face),first-party model repo (createdAt),MiniMax 官方 HF 仓库 createdAt 2025-12-20T05:45Z。未找到一方博客，公告可能早数日，故 medium。（2026-07-02 三次补漏）
AIT-2026-01-003,2026,January 2026,Kimi K2.5,Kimi K2.5 (Reasoning),2026-01-27,Kimi,1,"Moonshot AI releases Kimi K2.5 , an upgraded model focused on stronger reasoning, coding, and agentic workflows.",2026-01-27,2026-01-27,,day_resolved,high,https://www.kimi.com/en/blog/kimi-k2-5,Kimi K2.5: Visual Agentic Intelligence,official_research_page,Official Kimi page and research index carry the 2026/01/27 release.
AIT-2026-01-004,2026,January 2026,Imagine Video,grok-imagine-video,2026-01,xAI,1,"xAI launches Imagine Video , a video generation model in Grok that quickly rises to the top of public leaderboards.",2026-01-28,2026-01-28,,day_resolved,medium,https://x.ai/news/grok-imagine-api,Grok Imagine API,official technical blog,Official xAI blog announces Grok Imagine API as unified video generation bundle; event name is Imagine Video.
AIT-2026-02-001,2026,February 2026,Claude Opus 4.6; Claude Sonnet 4.6,"Claude Opus 4.6 (Adaptive Reasoning, Max Effort); Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",2026-02-05; 2026-02-17,Anthropic,2,"Anthropic releases Claude Opus 4.6 and Claude Sonnet 4.6 , adding a 1M-token context window in beta and making the updated Sonnet model the default across Claude and Cowork.",2026-02-05,2026-02-05; 2026-02-17,,day_resolved,high,https://www.anthropic.com/news/claude-opus-4-6; https://www.anthropic.com/news/claude-sonnet-4-6,Introducing Claude Opus 4.6; Introducing Claude Sonnet 4.6,official_news; official_product,This combined event maps to two first-party pages with different dates; event-level timestamping should later choose a rule or split the event.
AIT-2026-02-002,2026,February 2026,GPT-5.3-Codex,GPT-5.3 Codex (xhigh),2026-02-05,OpenAI,1,"OpenAI introduces GPT-5.3-Codex and GPT-5.3-Codex-Spark , upgraded coding models for long-running and real-time development work.",2026-02-05,2026-02-05,,day_resolved,high,https://openai.com/index/introducing-gpt-5-3-codex/,Introducing GPT-5.3-Codex,official product/research announcement,"OpenAI page is dated February 5, 2026 and introduces GPT-5.3-Codex."
AIT-2026-02-003,2026,February 2026,Gemini 3 Deep Think,Gemini 3 Deep Think,2026-02-05,Google,1,"Google launches Gemini 3 Deep Think , a specialized reasoning mode that reaches 84.6% on ARC-AGI-2 .",,,,unresolved,low,https://deepmind.google/models/gemini/deep-think/,Gemini 3.1 Deep Think,Google DeepMind model page,"Official model page shows Feb 2026 benchmark labeling but no dated first-party blog or technical announcement was found; official date left blank. | 2026-07-02 三次补漏：blog.google/products/gemini/gemini-3-deep-think（""Gemini 3 Deep Think is now available""）发布于 2025-12-04，为 Deep Think 初版发布；ATL 2026-02 事件疑指后续更新（AA 页面 Feb 2026 benchmark 标注），事件身份待复核，不能直接沿用 12-04。"
AIT-2026-02-004,2026,February 2026,Seedance 2.0,Dreamina Seedance 2.0 720p,2026-03,ByteDance Seed,1,"ByteDance releases Seedance 2.0 , an upgraded video generation model with stronger motion quality and multimodal control.",,,2026-02,month_only,medium,https://arxiv.org/abs/2604.14148,Seedance 2.0: Advancing Video Generation for World Complexity,first-party technical report,ByteDance Seed product page was retrieved but has no visible date. The first-party technical report says Seedance 2.0 was officially released in China in early February 2026 but gives no day.
AIT-2026-02-005,2026,February 2026,GLM-5,GLM-5 (Reasoning),2026-02-11,Z AI,1,"Zhipu AI launches GLM-5 , a new flagship model built for stronger reasoning, tool use, and agentic tasks.",2026-02-11,2026-02-11,,day_resolved,medium,https://z.ai/blog/glm-5,GLM-5: From Vibe Coding to Agentic Engineering,official_blog_js_rendered,"Official Z.ai blog URL and first-party Hugging Face model card were found, but static read did not expose page date. Keep as medium confidence."
AIT-2026-02-006,2026,February 2026,Grok 4.20,Grok 4.20 0309 v2 (Reasoning),2026-04-07,xAI,1,"xAI releases Grok 4.20 , an updated flagship model with improved reasoning and chat performance.",2026-03-10,2026-03-10,,day_resolved,low,https://docs.x.ai/developers/release-notes,Release Notes,official docs release notes,Official xAI docs release notes say Grok 4.20 and Grok 4.20 Multi-agent are live on Mar 10. This differs from ATL February month. | 2026-07-02 复核：ATL 月份（2026-02）、官方 release notes（2026-03-10）、AA 快照（2026-04-07）三者互不一致，事件身份存疑；置信度降为 low，建议日度分析前人工复核或剔除。
AIT-2026-02-008,2026,February 2026,Nano Banana 2,Nano Banana 2 (Gemini 3.1 Flash Image Preview),2026-02,Google,1,"Google launches Nano Banana 2 , a Gemini 3.1 Flash-based image model that matches Nano Banana Pro quality at lower latency.",2026-02-26,2026-02-26,,day_resolved,high,https://ai.google.dev/gemini-api/docs/changelog,Release notes,Google AI for Developers release notes,Release notes list Nano Banana 2 / Gemini 3.1 Flash Image Preview.
AIT-2026-03-002,2026,March 2026,GPT-5.4; GPT-5.4 mini; GPT-5.4 nano,GPT-5.4 (xhigh); GPT-5.4 mini (xhigh); GPT-5.4 nano (xhigh),2026-03-05; 2026-03-17; 2026-03-17,OpenAI,3,"OpenAI launches GPT-5.4 alongside GPT-5.4 mini and GPT-5.4 nano , expanding the GPT-5.4 family across flagship and lightweight tiers.",2026-03-05,2026-03-05; 2026-03-17,,day_resolved,medium,https://help.openai.com/en/articles/6825453-chatgpt-release-notes; https://openai.com/index/introducing-gpt-5-4-mini-and-nano/,ChatGPT Release Notes; Introducing GPT-5.4 mini and nano,official release notes; official product announcement,"Multi-model event. GPT-5.4 flagship date is from first-party release notes. GPT-5.4 mini and nano page is dated March 17, 2026."
AIT-2026-03-003,2026,March 2026,Mistral Small 4,Mistral Small 4 (Reasoning),2026-03-16,Mistral,1,"Mistral AI releases Mistral Small 4 , a multimodal open model that unifies reasoning, coding, and vision capabilities.",2026-03-16,2026-03-16,,day_resolved,high,https://docs.mistral.ai/models/model-cards/mistral-small-4-0-26-03,Mistral Small 4 - Mistral AI,official_model_card,"Official Mistral model card states March 16, 2026 for Mistral Small 4. I did not find a separate Mistral news post during this pass."
AIT-2026-03-004,2026,March 2026,Suno v5.5,Suno V5.5,,Suno,1,"Suno launches Suno v5.5 , adding Voices, Custom Models, and My Taste for more personalized music creation.",2026-03-26,2026-03-26,,day_resolved,high,https://suno.com/blog/v5-5,Suno v5.5: More Expressive. More You.,official product blog,"Suno blog and release notes list v5.5 launch on Mar 26, 2026."
